year,country_name,country_code,mobile_money_account_pct_adults_15plus,survey_name
2011,Burundi,BDI,1.7,Global Findex 2011
2011,Kenya,KEN,67.7,Global Findex 2011
2011,Rwanda,RWA,11.2,Global Findex 2011
2011,South Sudan,SSD,,Global Findex 2011
2011,Tanzania,TZA,32.7,Global Findex 2011
2011,Uganda,UGA,27.9,Global Findex 2011
2014,Burundi,BDI,12.7,Global Findex 2014
2014,Kenya,KEN,58.4,Global Findex 2014
2014,Rwanda,RWA,37.4,Global Findex 2014
2014,South Sudan,SSD,8.8,Global Findex 2014
2014,Tanzania,TZA,39.4,Global Findex 2014
2014,Uganda,UGA,35.1,Global Findex 2014
2017,Burundi,BDI,12.1,Global Findex 2017
2017,Kenya,KEN,72.9,Global Findex 2017
2017,Rwanda,RWA,34.1,Global Findex 2017
2017,South Sudan,SSD,8.4,Global Findex 2017
2017,Tanzania,TZA,38.2,Global Findex 2017
2017,Uganda,UGA,51.5,Global Findex 2017
2021,Burundi,BDI,26.1,Global Findex 2021
2021,Kenya,KEN,78.7,Global Findex 2021
2021,Rwanda,RWA,42.4,Global Findex 2021
2021,South Sudan,SSD,15.2,Global Findex 2021
2021,Tanzania,TZA,46.5,Global Findex 2021
2021,Uganda,UGA,58.8,Global Findex 2021
